State_x,County_x,Obesity_Rate,FIPS,State_y,County_y,fast_food_density
ME,Aroostook,41.7,23003,ME,Aroostook,0.583797395
KY,Whitley,41.4,21235,KY,Whitley,0.823022664
KY,Livingston,41.1,21139,KY,Livingston,0.33182171
KS,Mitchell,40.1,20123,KS,Mitchell,0.510290861
KY,Mercer,38.4,21167,KY,Mercer,0.411165416
KS,Shawnee,40.0,20177,KS,Shawnee,0.755686104
KY,Breckinridge,40.1,21027,KY,Breckinridge,0.389540821
KY,Graves,40.5,21083,KY,Graves,0.461730689
KS,Miami,35.4,20121,KS,Miami,0.466010362
KS,Thomas,34.3,20193,KS,Thomas,1.168527603
KY,Metcalfe,41.7,21169,KY,Metcalfe,0.298270047
LA,Union,43.9,22111,LA,Union,0.315741986
LA,LaSalle,39.9,22059,LA,LaSalle,0.79888159
LA,Bienville,46.6,22013,LA,Bienville,0.462142795
KS,Stevens,40.3,20189,KS,Stevens,0.556792855
KY,Magoffin,44.8,21153,KY,Magoffin,0.499292672
LA,West Carroll,41.0,22123,LA,West Carroll,0.845387936
KS,Sumner,39.8,20191,KS,Sumner,0.354327232
LA,Concordia,42.0,22029,LA,Concordia,0.581579804
KS,Rice,36.9,20159,KS,Rice,0.747703493
LA,Sabine,46.4,22085,LA,Sabine,0.294080585
KS,Sedgwick,33.5,20173,KS,Sedgwick,0.905931234
KY,Grant,37.8,21081,KY,Grant,0.748414516
KY,Calloway,40.6,21035,KY,Calloway,0.6361323
KY,Lawrence,39.7,21127,KY,Lawrence,0.583052576
KY,Mason,40.0,21161,KY,Mason,0.997945428
KY,Cumberland,42.8,21057,KY,Cumberland,0.459911078
LA,Avoyelles,45.8,22009,LA,Avoyelles,0.375319034
LA,St. Landry,48.4,22097,LA,St. Landry,0.466601193
LA,Tangipahoa,42.3,22105,LA,Tangipahoa,0.716557622
ME,Kennebec,33.6,23011,ME,Kennebec,0.707575917
KY,Letcher,40.6,21133,KY,Letcher,0.659972668
KY,Pendleton,39.9,21191,KY,Pendleton,0.274235576
KS,Morris,40.4,20127,KS,Morris,0.719553888
KY,Fayette,34.9,21067,KY,Fayette,0.926909626
